Date,Open,High,Low,Close,Adj Close,Volume
2020-01-22,130.015121,130.112473,126.890678,128.047119,128.047119,7007325208
2020-01-23,128.048294,128.286743,122.176292,124.183334,124.183334,7924441337
2020-01-24,124.161087,125.675041,119.892860,124.712631,124.712631,8151711626
2020-01-25,124.724953,124.847282,121.332909,123.360924,123.360924,6315482035
2020-01-26,123.278992,128.793182,122.714760,128.683533,128.683533,7091084994
2020-01-27,128.631271,132.426788,127.815201,130.901276,130.901276,8427381895
2020-01-28,130.866013,135.421371,131.096786,135.421371,135.421371,9039496023
2020-01-29,135.404144,137.338699,134.426224,134.426224,134.426224,8236243801
2020-01-30,134.324371,142.343246,131.731461,141.143417,141.143417,9632781689
2020-01-31,141.178894,140.410065,133.511688,136.437469,136.437469,8882221938
2020-02-01,136.402313,139.228439,136.123184,139.098480,139.098480,8761870513
2020-02-02,138.991364,146.481796,136.690231,143.096024,143.096024,10662488202
2020-02-03,143.088333,148.843491,144.669754,146.095093,146.095093,9535920926
2020-02-04,146.092529,146.663544,142.283188,145.235458,145.235458,8989751847
2020-02-05,145.272675,159.141266,145.250290,157.160690,157.160690,11439353164
2020-02-06,157.083313,165.977600,156.159882,164.230682,164.230682,12704142382
2020-02-07,164.212753,173.152008,164.742966,172.830078,172.830078,12938192043
2020-02-08,172.663162,175.826920,167.134598,173.156342,173.156342,12990771836
2020-02-09,173.028870,178.306839,172.968430,177.309540,177.309540,11659898193
2020-02-10,177.286697,177.433807,168.836700,173.050385,173.050385,12549723750
2020-02-11,172.943726,182.579376,168.740448,182.042221,182.042221,13094234509
2020-02-12,182.078506,210.249954,182.075592,204.852661,204.852661,18944998188
2020-02-13,204.579865,209.823608,198.465134,205.499146,205.499146,19776813072
2020-02-14,205.440918,218.482635,201.395386,217.839645,217.839645,18056317600
2020-02-15,218.103149,220.067108,202.558212,202.902283,202.902283,18151510827
2020-02-16,203.036774,209.078156,185.787674,199.127167,199.127167,19271340884
2020-02-17,199.123978,205.175140,187.316254,204.798065,204.798065,20009056386
2020-02-18,204.909821,217.818054,200.719818,216.889816,216.889816,20394324987
2020-02-19,216.960358,219.335022,200.939117,200.939117,200.939117,17543547622
2020-02-20,200.982361,203.979736,195.089508,200.232498,200.232498,18032084971
2020-02-21,200.187210,205.827362,198.450027,204.923096,204.923096,16100308134
2020-02-22,204.885254,205.529968,199.763397,202.400986,202.400986,13043782030
2020-02-23,202.359848,211.344498,202.114578,211.344498,211.344498,15120841562
